year,geography_type,geography_id,geography_name,state_fips,county_fips,full_county_fips,cbsa_code,single_family_units,total_units,single_family_share,single_family_value,multifamily_units,multifamily_value,total_value,yoy_change_units,yoy_percent_change,rolling_3yr_avg,cumulative_sfh_2000_2025,cumulative_sfh_2010_2025,cumulative_sfh_2020_2025,source_file
2000,state,37,North Carolina,37,,,,59061,78376,0.7536,7723713,19315,919480,8643193,,,,59061.0,,,st2000a.txt
2001,state,37,North Carolina,37,,,,62679,82030,0.7641,8285743,19351,940282,9226025,3618.0,6.13,,121740.0,,,st2001a.txt
2002,state,37,North Carolina,37,,,,66400,79824,0.8318,9083741,13424,797857,9881598,3721.0,5.94,62713.3,188140.0,,,st2002a.txt
2003,state,37,North Carolina,37,,,,66883,79226,0.8442,9514177,12343,753800,10267977,483.0,0.73,65320.7,255023.0,,,st2003a.txt
2004,state,37,North Carolina,37,,,,77147,93077,0.8289,11830180,15930,1014973,12845153,10264.0,15.35,70143.3,332170.0,,,st2004a.txt
2005,state,37,North Carolina,37,,,,84975,97910,0.8679,13849069,12935,965068,14814137,7828.0,10.15,76335.0,417145.0,,,st2005a.txt
2006,state,37,North Carolina,37,,,,82672,99979,0.8269,14692139,17307,1382127,16074266,-2303.0,-2.71,81598.0,499817.0,,,st2006a.txt
2007,state,37,North Carolina,37,,,,70339,85777,0.82,12956118,15438,1342279,14298397,-12333.0,-14.92,79328.7,570156.0,,,st2007a.txt
2008,state,37,North Carolina,37,,,,39082,54652,0.7151,7278958,15570,1152918,8431876,-31257.0,-44.44,64031.0,609238.0,,,st2008a.txt
2009,state,37,North Carolina,37,,,,25388,33800,0.7511,4446099,8412,584232,5030331,-13694.0,-35.04,44936.3,634626.0,,,st2009a.txt
2010,state,37,North Carolina,37,,,,26047,33889,0.7686,4616970,7842,490192,5107162,659.0,2.6,30172.3,660673.0,26047.0,,st2010a.txt
2011,state,37,North Carolina,37,,,,24863,32804,0.7579,4490833,7941,562440,5053273,-1184.0,-4.55,25432.7,685536.0,50910.0,,st2011a.txt
2012,state,37,North Carolina,37,,,,29945,48692,0.615,5681942,18747,1374216,7056158,5082.0,20.44,26951.7,715481.0,80855.0,,st2012a.txt
2013,state,37,North Carolina,37,,,,35316,51290,0.6886,7100674,15974,1160498,8261172,5371.0,17.94,30041.3,750797.0,116171.0,,st2013a.txt
2014,state,37,North Carolina,37,,,,35051,49911,0.7023,7373249,14860,1246401,8619650,-265.0,-0.75,33437.3,785848.0,151222.0,,st2014a.txt
2015,state,37,North Carolina,37,,,,38937,54757,0.7111,8310278,15820,1397653,9707931,3886.0,11.09,36434.7,824785.0,190159.0,,st2015a.txt
2016,state,37,North Carolina,37,,,,43675,60550,0.7213,9611054,16875,1479998,11091052,4738.0,12.17,39221.0,868460.0,233834.0,,st2016a.txt
2017,state,37,North Carolina,37,,,,49366,67047,0.7363,11015850,17681,1677747,12693597,5691.0,13.03,43992.7,917826.0,283200.0,,st2017a.txt
2018,state,37,North Carolina,37,,,,51248,71691,0.7148,11588273,20443,1993685,13581958,1882.0,3.81,48096.3,969074.0,334448.0,,st2018a.txt
2019,state,37,North Carolina,37,,,,51642,71307,0.7242,11742608,19665,2107063,13849671,394.0,0.77,50752.0,1020716.0,386090.0,,st2019a.txt
2020,state,37,North Carolina,37,,,,60505,80474,0.7519,13869234,19969,2242360,16111594,8863.0,17.16,54465.0,1081221.0,446595.0,60505.0,st2020a.txt
2021,state,37,North Carolina,37,,,,68636,94874,0.7234,17262614,26238,3223240,20485854,8131.0,13.44,60261.0,1149857.0,515231.0,129141.0,st2021a.txt
2022,state,37,North Carolina,37,,,,65183,94118,0.6926,18093711,28935,3903364,21997075,-3453.0,-5.03,64774.7,1215040.0,580414.0,194324.0,st2022a.txt
2023,state,37,North Carolina,37,,,,65860,98853,0.6662,18308948,32993,4432559,22741507,677.0,1.04,66559.7,1280900.0,646274.0,260184.0,st2023a.txt
2024,state,37,North Carolina,37,,,,70047,95163,0.7361,20326113,25116,3979279,24305392,4187.0,6.36,67030.0,1350947.0,716321.0,330231.0,st2024a.txt
2000,state,38,North Dakota,38,,,,1257,2128,0.5907,146531,871,43665,190196,,,,1257.0,,,st2000a.txt
2001,state,38,North Dakota,38,,,,1482,2687,0.5515,181547,1205,59261,240808,225.0,17.9,,2739.0,,,st2001a.txt
2002,state,38,North Dakota,38,,,,1793,3265,0.5492,233942,1472,75801,309743,311.0,20.99,1510.7,4532.0,,,st2002a.txt
2003,state,38,North Dakota,38,,,,2344,3721,0.6299,319023,1377,78498,397521,551.0,30.73,1873.0,6876.0,,,st2003a.txt
2004,state,38,North Dakota,38,,,,2521,4033,0.6251,342556,1512,91838,434394,177.0,7.55,2219.3,9397.0,,,st2004a.txt
2005,state,38,North Dakota,38,,,,2367,4038,0.5862,349928,1671,107861,457789,-154.0,-6.11,2410.7,11764.0,,,st2005a.txt
2006,state,38,North Dakota,38,,,,2297,3529,0.6509,353188,1232,109151,462339,-70.0,-2.96,2395.0,14061.0,,,st2006a.txt
2007,state,38,North Dakota,38,,,,2194,3360,0.653,353563,1166,92152,445715,-103.0,-4.48,2286.0,16255.0,,,st2007a.txt
2008,state,38,North Dakota,38,,,,1888,2833,0.6664,328171,945,70667,398838,-306.0,-13.95,2126.3,18143.0,,,st2008a.txt
2009,state,38,North Dakota,38,,,,1704,3195,0.5333,291491,1491,60959,352450,-184.0,-9.75,1928.7,19847.0,,,st2009a.txt
2010,state,38,North Dakota,38,,,,2084,3833,0.5437,361415,1749,119728,481143,380.0,22.3,1892.0,21931.0,2084.0,,st2010a.txt
2011,state,38,North Dakota,38,,,,2913,6201,0.4698,509504,3288,274112,783616,829.0,39.78,2233.7,24844.0,4997.0,,st2011a.txt
2012,state,38,North Dakota,38,,,,4540,10340,0.4391,886381,5800,511145,1397526,1627.0,55.85,3179.0,29384.0,9537.0,,st2012a.txt
2013,state,38,North Dakota,38,,,,3899,10532,0.3702,767877,6633,589477,1357354,-641.0,-14.12,3784.0,33283.0,13436.0,,st2013a.txt
2014,state,38,North Dakota,38,,,,4531,12178,0.3721,890549,7647,745502,1636051,632.0,16.21,4323.3,37814.0,17967.0,,st2014a.txt
2015,state,38,North Dakota,38,,,,3440,6256,0.5499,678561,2816,274463,953024,-1091.0,-24.08,3956.7,41254.0,21407.0,,st2015a.txt
2016,state,38,North Dakota,38,,,,2359,3981,0.5926,550030,1622,164145,714175,-1081.0,-31.42,3443.3,43613.0,23766.0,,st2016a.txt
2017,state,38,North Dakota,38,,,,2111,3411,0.6189,488144,1300,118542,606686,-248.0,-10.51,2636.7,45724.0,25877.0,,st2017a.txt
2018,state,38,North Dakota,38,,,,1905,3211,0.5933,464240,1306,143658,607898,-206.0,-9.76,2125.0,47629.0,27782.0,,st2018a.txt
2019,state,38,North Dakota,38,,,,1767,2495,0.7082,449484,728,87973,537457,-138.0,-7.24,1927.7,49396.0,29549.0,,st2019a.txt
2020,state,38,North Dakota,38,,,,2171,3493,0.6215,583299,1322,143456,726755,404.0,22.86,1947.7,51567.0,31720.0,2171.0,st2020a.txt
2021,state,38,North Dakota,38,,,,2266,3600,0.6294,666882,1334,198687,865569,95.0,4.38,2068.0,53833.0,33986.0,4437.0,st2021a.txt
2022,state,38,North Dakota,38,,,,1961,3440,0.5701,633938,1479,206092,840030,-305.0,-13.46,2132.7,55794.0,35947.0,6398.0,st2022a.txt
2023,state,38,North Dakota,38,,,,1499,2618,0.5726,501369,1119,188063,689432,-462.0,-23.56,1908.7,57293.0,37446.0,7897.0,st2023a.txt
2024,state,38,North Dakota,38,,,,1651,2319,0.7119,567843,668,110409,678252,152.0,10.14,1703.7,58944.0,39097.0,9548.0,st2024a.txt
2000,state,39,Ohio,39,,,,38013,49745,0.7642,5550770,11732,602854,6153624,,,,38013.0,,,st2000a.txt
2001,state,39,Ohio,39,,,,38765,49931,0.7764,5855533,11166,596684,6452217,752.0,1.98,,76778.0,,,st2001a.txt
2002,state,39,Ohio,39,,,,39785,51246,0.7764,6213089,11461,624928,6838017,1020.0,2.63,38854.3,116563.0,,,st2002a.txt
2003,state,39,Ohio,39,,,,42703,53041,0.8051,6883983,10338,618937,7502920,2918.0,7.33,40417.7,159266.0,,,st2003a.txt
2004,state,39,Ohio,39,,,,42543,51695,0.823,7366198,9152,607732,7973930,-160.0,-0.37,41677.0,201809.0,,,st2004a.txt
2005,state,39,Ohio,39,,,,38306,47727,0.8026,7211376,9421,658391,7869767,-4237.0,-9.96,41184.0,240115.0,,,st2005a.txt
2006,state,39,Ohio,39,,,,27514,34422,0.7993,5378278,6908,541689,5919967,-10792.0,-28.17,36121.0,267629.0,,,st2006a.txt
2007,state,39,Ohio,39,,,,20511,27095,0.757,4234755,6584,469069,4703824,-7003.0,-25.45,28777.0,288140.0,,,st2007a.txt
2008,state,39,Ohio,39,,,,12873,17666,0.7287,2580452,4793,347947,2928399,-7638.0,-37.24,20299.3,301013.0,,,st2008a.txt
2009,state,39,Ohio,39,,,,10593,13343,0.7939,1997093,2750,196858,2193951,-2280.0,-17.71,14659.0,311606.0,,,st2009a.txt
2010,state,39,Ohio,39,,,,10603,13710,0.7734,2105368,3107,192126,2297494,10.0,0.09,11356.3,322209.0,10603.0,,st2010a.txt
2011,state,39,Ohio,39,,,,9320,13762,0.6772,1948712,4442,311155,2259867,-1283.0,-12.1,10172.0,331529.0,19923.0,,st2011a.txt
2012,state,39,Ohio,39,,,,10894,16905,0.6444,2282933,6011,485592,2768525,1574.0,16.89,10272.3,342423.0,30817.0,,st2012a.txt
2013,state,39,Ohio,39,,,,12717,19903,0.6389,2853820,7186,492247,3346067,1823.0,16.73,10977.0,355140.0,43534.0,,st2013a.txt
2014,state,39,Ohio,39,,,,12535,19872,0.6308,3065098,7337,688688,3753786,-182.0,-1.43,12048.7,367675.0,56069.0,,st2014a.txt
2015,state,39,Ohio,39,,,,13529,20047,0.6749,3348471,6518,634419,3982890,994.0,7.93,12927.0,381204.0,69598.0,,st2015a.txt
2016,state,39,Ohio,39,,,,15221,22816,0.6671,3815422,7595,773844,4589266,1692.0,12.51,13761.7,396425.0,84819.0,,st2016a.txt
2017,state,39,Ohio,39,,,,16153,23917,0.6754,4103529,7764,917462,5020991,932.0,6.12,14967.7,412578.0,100972.0,,st2017a.txt
2018,state,39,Ohio,39,,,,16329,24221,0.6742,4341641,7892,847698,5189339,176.0,1.09,15901.0,428907.0,117301.0,,st2018a.txt
2019,state,39,Ohio,39,,,,16078,23047,0.6976,4569919,6969,851772,5421691,-251.0,-1.54,16186.7,444985.0,133379.0,,st2019a.txt
2020,state,39,Ohio,39,,,,18352,29686,0.6182,5337916,11334,1080563,6418479,2274.0,14.14,16919.7,463337.0,151731.0,18352.0,st2020a.txt
2021,state,39,Ohio,39,,,,20506,30418,0.6741,6325437,9912,1014017,7339454,2154.0,11.74,18312.0,483843.0,172237.0,38858.0,st2021a.txt
2022,state,39,Ohio,39,,,,17350,30843,0.5625,6069499,13493,1515133,7584632,-3156.0,-15.39,18736.0,501193.0,189587.0,56208.0,st2022a.txt
2023,state,39,Ohio,39,,,,16009,27318,0.586,5561664,11309,1403381,6965045,-1341.0,-7.73,17955.0,517202.0,205596.0,72217.0,st2023a.txt
2024,state,39,Ohio,39,,,,17791,31411,0.5664,6521023,13620,1696282,8217305,1782.0,11.13,17050.0,534993.0,223387.0,90008.0,st2024a.txt
2000,state,40,Oklahoma,40,,,,8977,11148,0.8053,1100200,2171,103803,1204003,,,,8977.0,,,st2000a.txt
2001,state,40,Oklahoma,40,,,,9786,12352,0.7923,1284178,2566,193340,1477518,809.0,9.01,,18763.0,,,st2001a.txt
2002,state,40,Oklahoma,40,,,,11248,12979,0.8666,1475021,1731,112922,1587943,1462.0,14.94,10003.7,30011.0,,,st2002a.txt
2003,state,40,Oklahoma,40,,,,12729,14968,0.8504,1736102,2239,125083,1861185,1481.0,13.17,11254.3,42740.0,,,st2003a.txt
2004,state,40,Oklahoma,40,,,,14101,17068,0.8262,2022985,2967,161123,2184108,1372.0,10.78,12692.7,56841.0,,,st2004a.txt
2005,state,40,Oklahoma,40,,,,15669,18362,0.8533,2335811,2693,154294,2490105,1568.0,11.12,14166.3,72510.0,,,st2005a.txt
2006,state,40,Oklahoma,40,,,,14088,15840,0.8894,2231588,1752,90656,2322244,-1581.0,-10.09,14619.3,86598.0,,,st2006a.txt
2007,state,40,Oklahoma,40,,,,12078,14730,0.82,2001078,2652,136055,2137133,-2010.0,-14.27,13945.0,98676.0,,,st2007a.txt
2008,state,40,Oklahoma,40,,,,8397,10502,0.7996,1440417,2105,150885,1591302,-3681.0,-30.48,11521.0,107073.0,,,st2008a.txt
2009,state,40,Oklahoma,40,,,,7290,8753,0.8329,1205630,1463,96264,1301894,-1107.0,-13.18,9255.0,114363.0,,,st2009a.txt
2010,state,40,Oklahoma,40,,,,6866,8140,0.8435,1147734,1274,78026,1225760,-424.0,-5.82,7517.7,121229.0,6866.0,,st2010a.txt
2011,state,40,Oklahoma,40,,,,6443,8782,0.7337,1134142,2339,151502,1285644,-423.0,-6.16,6866.3,127672.0,13309.0,,st2011a.txt
2012,state,40,Oklahoma,40,,,,9659,11930,0.8096,1795209,2271,141198,1936407,3216.0,49.91,7656.0,137331.0,22968.0,,st2012a.txt
2013,state,40,Oklahoma,40,,,,10892,13583,0.8019,2151122,2691,169655,2320777,1233.0,12.77,8998.0,148223.0,33860.0,,st2013a.txt
2014,state,40,Oklahoma,40,,,,10235,14179,0.7218,2124481,3944,333016,2457497,-657.0,-6.03,10262.0,158458.0,44095.0,,st2014a.txt
2015,state,40,Oklahoma,40,,,,9571,11545,0.829,2065949,1974,150285,2216234,-664.0,-6.49,10232.7,168029.0,53666.0,,st2015a.txt
2016,state,40,Oklahoma,40,,,,9170,12092,0.7584,1939468,2922,215543,2155011,-401.0,-4.19,9658.7,177199.0,62836.0,,st2016a.txt
2017,state,40,Oklahoma,40,,,,9419,11092,0.8492,2028917,1673,162714,2191631,249.0,2.72,9386.7,186618.0,72255.0,,st2017a.txt
2018,state,40,Oklahoma,40,,,,9361,10502,0.8914,2065839,1141,115458,2181297,-58.0,-0.62,9316.7,195979.0,81616.0,,st2018a.txt
2019,state,40,Oklahoma,40,,,,10393,12152,0.8553,2274806,1759,207799,2482605,1032.0,11.02,9724.3,206372.0,92009.0,,st2019a.txt
2020,state,40,Oklahoma,40,,,,12100,13733,0.8811,2702587,1633,149932,2852519,1707.0,16.42,10618.0,218472.0,104109.0,12100.0,st2020a.txt
2021,state,40,Oklahoma,40,,,,13315,14733,0.9038,3313629,1418,140579,3454208,1215.0,10.04,11936.0,231787.0,117424.0,25415.0,st2021a.txt
2022,state,40,Oklahoma,40,,,,10926,13876,0.7874,3014001,2950,384686,3398687,-2389.0,-17.94,12113.7,242713.0,128350.0,36341.0,st2022a.txt
2023,state,40,Oklahoma,40,,,,10325,13405,0.7702,2853969,3080,362410,3216379,-601.0,-5.5,11522.0,253038.0,138675.0,46666.0,st2023a.txt
2024,state,40,Oklahoma,40,,,,10928,13669,0.7995,3028268,2741,373708,3401976,603.0,5.84,10726.3,263966.0,149603.0,57594.0,st2024a.txt
2000,state,41,Oregon,41,,,,15619,19877,0.7858,2247620,4258,285712,2533332,,,,15619.0,,,st2000a.txt
2001,state,41,Oregon,41,,,,16323,21322,0.7655,2654989,4999,342938,2997927,704.0,4.51,,31942.0,,,st2001a.txt
2002,state,41,Oregon,41,,,,17413,22186,0.7849,2962080,4773,385301,3347381,1090.0,6.68,16451.7,49355.0,,,st2002a.txt
2003,state,41,Oregon,41,,,,17875,25015,0.7146,3218627,7140,552321,3770948,462.0,2.65,17203.7,67230.0,,,st2003a.txt
2004,state,41,Oregon,41,,,,20728,27309,0.759,3950083,6581,508043,4458126,2853.0,15.96,18672.0,87958.0,,,st2004a.txt
2005,state,41,Oregon,41,,,,23840,31024,0.7684,4797553,7184,685595,5483148,3112.0,15.01,20814.3,111798.0,,,st2005a.txt
2006,state,41,Oregon,41,,,,19859,26623,0.7459,4253578,6764,687979,4941557,-3981.0,-16.7,21475.7,131657.0,,,st2006a.txt
2007,state,41,Oregon,41,,,,15310,21101,0.7256,3406265,5791,594218,4000483,-4549.0,-22.91,19669.7,146967.0,,,st2007a.txt
2008,state,41,Oregon,41,,,,7466,11676,0.6394,1644896,4210,602381,2247277,-7844.0,-51.23,14211.7,154433.0,,,st2008a.txt
2009,state,41,Oregon,41,,,,5278,7039,0.7498,1175446,1761,180330,1355776,-2188.0,-29.31,9351.3,159711.0,,,st2009a.txt
2010,state,41,Oregon,41,,,,5259,6868,0.7657,1184791,1609,192279,1377070,-19.0,-0.36,6001.0,164970.0,5259.0,,st2010a.txt
2011,state,41,Oregon,41,,,,4854,7663,0.6334,1125584,2809,281770,1407354,-405.0,-7.7,5130.3,169824.0,10113.0,,st2011a.txt
2012,state,41,Oregon,41,,,,6342,10608,0.5979,1531635,4266,443557,1975192,1488.0,30.66,5485.0,176166.0,16455.0,,st2012a.txt
2013,state,41,Oregon,41,,,,8417,14843,0.5671,2095322,6426,593040,2688362,2075.0,32.72,6537.7,184583.0,24872.0,,st2013a.txt
2014,state,41,Oregon,41,,,,8573,16645,0.515,2218858,8072,1024503,3243361,156.0,1.85,7777.3,193156.0,33445.0,,st2014a.txt
2015,state,41,Oregon,41,,,,10255,17510,0.5857,2701797,7255,890161,3591958,1682.0,19.62,9081.7,203411.0,43700.0,,st2015a.txt
2016,state,41,Oregon,41,,,,11006,19586,0.5619,2914551,8580,1029858,3944409,751.0,7.32,9944.7,214417.0,54706.0,,st2016a.txt
2017,state,41,Oregon,41,,,,10604,20053,0.5288,2853994,9449,1299713,4153707,-402.0,-3.65,10621.7,225021.0,65310.0,,st2017a.txt
2018,state,41,Oregon,41,,,,11217,20132,0.5572,3010461,8915,1170433,4180894,613.0,5.78,10942.3,236238.0,76527.0,,st2018a.txt
2019,state,41,Oregon,41,,,,11586,22037,0.5258,3127851,10451,1319254,4447105,369.0,3.29,11135.7,247824.0,88113.0,,st2019a.txt
2020,state,41,Oregon,41,,,,11492,18665,0.6157,3153662,7173,913339,4067001,-94.0,-0.81,11431.7,259316.0,99605.0,11492.0,st2020a.txt
2021,state,41,Oregon,41,,,,13185,21916,0.6016,3748332,8731,1379986,5128318,1693.0,14.73,12087.7,272501.0,112790.0,24677.0,st2021a.txt
2022,state,41,Oregon,41,,,,10312,20321,0.5075,3244253,10009,1329105,4573358,-2873.0,-21.79,11663.0,282813.0,123102.0,34989.0,st2022a.txt
2023,state,41,Oregon,41,,,,9797,17697,0.5536,3346448,7900,1299658,4646106,-515.0,-4.99,11098.0,292610.0,132899.0,44786.0,st2023a.txt
2024,state,41,Oregon,41,,,,9810,14621,0.671,3444612,4811,833003,4277615,13.0,0.13,9973.0,302420.0,142709.0,54596.0,st2024a.txt
2000,state,42,Pennsylvania,42,,,,34501,41076,0.8399,4216232,6575,399949,4616181,,,,34501.0,,,st2000a.txt
2001,state,42,Pennsylvania,42,,,,34803,41403,0.8406,4411592,6600,392540,4804132,302.0,0.88,,69304.0,,,st2001a.txt
2002,state,42,Pennsylvania,42,,,,38683,45114,0.8575,5137851,6431,434811,5572662,3880.0,11.15,35995.7,107987.0,,,st2002a.txt
2003,state,42,Pennsylvania,42,,,,38567,47356,0.8144,5466401,8789,585392,6051793,-116.0,-0.3,37351.0,146554.0,,,st2003a.txt
2004,state,42,Pennsylvania,42,,,,41496,49665,0.8355,6180568,8169,586002,6766570,2929.0,7.59,39582.0,188050.0,,,st2004a.txt
2005,state,42,Pennsylvania,42,,,,37268,44525,0.837,6254634,7257,521576,6776210,-4228.0,-10.19,39110.3,225318.0,,,st2005a.txt
2006,state,42,Pennsylvania,42,,,,33121,39128,0.8465,5829380,6007,524852,6354232,-4147.0,-11.13,37295.0,258439.0,,,st2006a.txt
2007,state,42,Pennsylvania,42,,,,27497,33665,0.8168,4860648,6168,500985,5361633,-5624.0,-16.98,32628.7,285936.0,,,st2007a.txt
2008,state,42,Pennsylvania,42,,,,20238,24577,0.8235,3733036,4339,411895,4144931,-7259.0,-26.4,26952.0,306174.0,,,st2008a.txt
2009,state,42,Pennsylvania,42,,,,15341,18275,0.8395,2759168,2934,316153,3075321,-4897.0,-24.2,21025.3,321515.0,,,st2009a.txt
2010,state,42,Pennsylvania,42,,,,16886,19740,0.8554,3026649,2854,266449,3293098,1545.0,10.07,17488.3,338401.0,16886.0,,st2010a.txt
2011,state,42,Pennsylvania,42,,,,11790,14967,0.7877,2249985,3177,295801,2545786,-5096.0,-30.18,14672.3,350191.0,28676.0,,st2011a.txt
2012,state,42,Pennsylvania,42,,,,13432,18796,0.7146,2570504,5364,540759,3111263,1642.0,13.93,14036.0,363623.0,42108.0,,st2012a.txt
2013,state,42,Pennsylvania,42,,,,15505,21650,0.7162,3105561,6145,644102,3749663,2073.0,15.43,13575.7,379128.0,57613.0,,st2013a.txt
2014,state,42,Pennsylvania,42,,,,16371,25059,0.6533,3491460,8688,1222983,4714443,866.0,5.59,15102.7,395499.0,73984.0,,st2014a.txt
2015,state,42,Pennsylvania,42,,,,15420,22854,0.6747,3465208,7434,941181,4406389,-951.0,-5.81,15765.3,410919.0,89404.0,,st2015a.txt
2016,state,42,Pennsylvania,42,,,,16457,23303,0.7062,3733765,6846,781795,4515560,1037.0,6.73,16082.7,427376.0,105861.0,,st2016a.txt
2017,state,42,Pennsylvania,42,,,,15703,22584,0.6953,3570543,6881,863447,4433990,-754.0,-4.58,15860.0,443079.0,121564.0,,st2017a.txt
2018,state,42,Pennsylvania,42,,,,15335,23325,0.6574,3593293,7990,1091028,4684321,-368.0,-2.34,15831.7,458414.0,136899.0,,st2018a.txt
2019,state,42,Pennsylvania,42,,,,14878,23539,0.6321,3584647,8661,1092836,4677483,-457.0,-2.98,15305.3,473292.0,151777.0,,st2019a.txt
2020,state,42,Pennsylvania,42,,,,15846,25706,0.6164,3837780,9860,1239562,5077342,968.0,6.51,15353.0,489138.0,167623.0,15846.0,st2020a.txt
2021,state,42,Pennsylvania,42,,,,18764,47894,0.3918,4886551,29130,4424580,9311131,2918.0,18.41,16496.0,507902.0,186387.0,34610.0,st2021a.txt
2022,state,42,Pennsylvania,42,,,,18150,28149,0.6448,5237550,9999,1379773,6617323,-614.0,-3.27,17586.7,526052.0,204537.0,52760.0,st2022a.txt
2023,state,42,Pennsylvania,42,,,,15912,25320,0.6284,4805012,9408,1217786,6022798,-2238.0,-12.33,17608.7,541964.0,220449.0,68672.0,st2023a.txt
2024,state,42,Pennsylvania,42,,,,16348,24810,0.6589,5352419,8462,1097339,6449758,436.0,2.74,16803.3,558312.0,236797.0,85020.0,st2024a.txt
2000,state,44,Rhode Island,44,,,,2256,2596,0.869,276978,340,19415,296393,,,,2256.0,,,st2000a.txt
2001,state,44,Rhode Island,44,,,,2185,2407,0.9078,288596,222,17440,306036,-71.0,-3.15,,4441.0,,,st2001a.txt
2002,state,44,Rhode Island,44,,,,2182,2848,0.7662,315534,666,28233,343767,-3.0,-0.14,2207.7,6623.0,,,st2002a.txt
2003,state,44,Rhode Island,44,,,,1948,2286,0.8521,314204,338,23808,338012,-234.0,-10.72,2105.0,8571.0,,,st2003a.txt
2004,state,44,Rhode Island,44,,,,1903,2532,0.7516,324795,629,37474,362269,-45.0,-2.31,2011.0,10474.0,,,st2004a.txt
2005,state,44,Rhode Island,44,,,,1808,2836,0.6375,327568,1028,56430,383998,-95.0,-4.99,1886.3,12282.0,,,st2005a.txt
2006,state,44,Rhode Island,44,,,,1801,2370,0.7599,312324,569,71475,383799,-7.0,-0.39,1837.3,14083.0,,,st2006a.txt
2007,state,44,Rhode Island,44,,,,1395,1938,0.7198,291771,543,37593,329364,-406.0,-22.54,1668.0,15478.0,,,st2007a.txt
2008,state,44,Rhode Island,44,,,,874,1058,0.8261,204330,184,28009,232339,-521.0,-37.35,1356.7,16352.0,,,st2008a.txt
2009,state,44,Rhode Island,44,,,,704,961,0.7326,137538,257,24335,161873,-170.0,-19.45,991.0,17056.0,,,st2009a.txt
2010,state,44,Rhode Island,44,,,,727,934,0.7784,139963,207,15109,155072,23.0,3.27,768.3,17783.0,727.0,,st2010a.txt
2011,state,44,Rhode Island,44,,,,571,700,0.8157,116565,129,12711,129276,-156.0,-21.46,667.3,18354.0,1298.0,,st2011a.txt
2012,state,44,Rhode Island,44,,,,665,731,0.9097,132249,66,6174,138423,94.0,16.46,654.3,19019.0,1963.0,,st2012a.txt
2013,state,44,Rhode Island,44,,,,812,928,0.875,166049,116,13899,179948,147.0,22.11,682.7,19831.0,2775.0,,st2013a.txt
2014,state,44,Rhode Island,44,,,,796,952,0.8361,182430,156,12600,195030,-16.0,-1.97,757.7,20627.0,3571.0,,st2014a.txt
2015,state,44,Rhode Island,44,,,,841,998,0.8427,190734,157,20880,211614,45.0,5.65,816.3,21468.0,4412.0,,st2015a.txt
2016,state,44,Rhode Island,44,,,,919,1226,0.7496,212363,307,24149,236512,78.0,9.27,852.0,22387.0,5331.0,,st2016a.txt
2017,state,44,Rhode Island,44,,,,981,1153,0.8508,231059,172,15889,246948,62.0,6.75,913.7,23368.0,6312.0,,st2017a.txt
2018,state,44,Rhode Island,44,,,,936,1294,0.7233,223001,358,37273,260274,-45.0,-4.59,945.3,24304.0,7248.0,,st2018a.txt
2019,state,44,Rhode Island,44,,,,1020,1400,0.7286,249341,380,31073,280414,84.0,8.97,979.0,25324.0,8268.0,,st2019a.txt
2020,state,44,Rhode Island,44,,,,976,1374,0.7103,254502,398,44447,298949,-44.0,-4.31,977.3,26300.0,9244.0,976.0,st2020a.txt
2021,state,44,Rhode Island,44,,,,1033,1392,0.7421,287267,359,41228,328495,57.0,5.84,1009.7,27333.0,10277.0,2009.0,st2021a.txt
2022,state,44,Rhode Island,44,,,,960,1372,0.6997,328614,412,59213,387827,-73.0,-7.07,989.7,28293.0,11237.0,2969.0,st2022a.txt
2023,state,44,Rhode Island,44,,,,709,1169,0.6065,230171,460,52310,282481,-251.0,-26.15,900.7,29002.0,11946.0,3678.0,st2023a.txt
2024,state,44,Rhode Island,44,,,,825,1757,0.4696,274117,932,112509,386626,116.0,16.36,831.3,29827.0,12771.0,4503.0,st2024a.txt
2000,state,45,South Carolina,45,,,,24863,32812,0.7577,3037091,7949,495576,3532667,,,,24863.0,,,st2000a.txt
2001,state,45,South Carolina,45,,,,24783,30133,0.8225,3105599,5350,364224,3469823,-80.0,-0.32,,49646.0,,,st2001a.txt
2002,state,45,South Carolina,45,,,,28609,34104,0.8389,3723319,5495,378756,4102075,3826.0,15.44,26085.0,78255.0,,,st2002a.txt
2003,state,45,South Carolina,45,,,,31553,38191,0.8262,4176526,6638,439500,4616026,2944.0,10.29,28315.0,109808.0,,,st2003a.txt
2004,state,45,South Carolina,45,,,,36081,43230,0.8346,5060976,7149,580382,5641358,4528.0,14.35,32081.0,145889.0,,,st2004a.txt
2005,state,45,South Carolina,45,,,,43341,54157,0.8003,6579366,10816,1181953,7761319,7260.0,20.12,36991.7,189230.0,,,st2005a.txt
2006,state,45,South Carolina,45,,,,41675,50776,0.8208,6636419,9101,955688,7592107,-1666.0,-3.84,40365.7,230905.0,,,st2006a.txt
2007,state,45,South Carolina,45,,,,32817,40631,0.8077,5626603,7814,691963,6318566,-8858.0,-21.25,39277.7,263722.0,,,st2007a.txt
2008,state,45,South Carolina,45,,,,19778,25918,0.7631,3651114,6140,587597,4238711,-13039.0,-39.73,31423.3,283500.0,,,st2008a.txt
2009,state,45,South Carolina,45,,,,13444,15529,0.8657,2359852,2085,174610,2534462,-6334.0,-32.03,22013.0,296944.0,,,st2009a.txt
2010,state,45,South Carolina,45,,,,12691,14021,0.9051,2385227,1330,103912,2489139,-753.0,-5.6,15304.3,309635.0,12691.0,,st2010a.txt
