year,geography_type,geography_id,geography_name,state_fips,county_fips,full_county_fips,cbsa_code,single_family_units,total_units,single_family_share,single_family_value,multifamily_units,multifamily_value,total_value,source_file,geo_level
2002,cbsa,09999,New Orleans  LA MSA,,,,09999,4357,5414,0.8048,571512,1057,61817,633329,ma2002a.txt,cbsa
2002,cbsa,09999,Norfolk-Virginia Beach-Newport News  VA-NC MSA,,,,09999,7632,10159,0.7513,1036990,2527,106409,1143399,ma2002a.txt,cbsa
2002,cbsa,09999,Ocala  FL MSA,,,,09999,5384,6161,0.8739,642376,777,24402,666778,ma2002a.txt,cbsa
2002,cbsa,09999,Odessa-Midland  TX MSA,,,,09999,355,427,0.8314,45480,72,3695,49175,ma2002a.txt,cbsa
2002,cbsa,09999,Oklahoma City  OK MSA,,,,09999,5730,6143,0.9328,774767,413,24444,799211,ma2002a.txt,cbsa
2002,cbsa,09999,Omaha  NE-IA MSA,,,,09999,4403,5703,0.772,538571,1300,76543,615114,ma2002a.txt,cbsa
2002,cbsa,09999,Orlando  FL MSA,,,,09999,17306,26208,0.6603,2447614,8902,509052,2956666,ma2002a.txt,cbsa
2002,cbsa,09999,Owensboro  KY MSA,,,,09999,1035,1073,0.9646,84482,38,1768,86250,ma2002a.txt,cbsa
2002,cbsa,09999,Panama City  FL MSA,,,,09999,1111,1616,0.6875,148154,505,48191,196345,ma2002a.txt,cbsa
2002,cbsa,09999,Parkersburg-Marietta  WV-OH MSA,,,,09999,198,224,0.8839,23928,26,898,24826,ma2002a.txt,cbsa
2002,cbsa,09999,Pensacola  FL MSA,,,,09999,2832,3213,0.8814,312578,381,20363,332941,ma2002a.txt,cbsa
2002,cbsa,09999,Peoria-Pekin  IL MSA,,,,09999,1201,1328,0.9044,171310,127,11572,182882,ma2002a.txt,cbsa
2002,cbsa,09999,Phoenix-Mesa  AZ MSA,,,,09999,40002,47899,0.8351,5895670,7897,473473,6369143,ma2002a.txt,cbsa
2002,cbsa,09999,Pine Bluff  AR MSA,,,,09999,115,147,0.7823,8748,32,1310,10058,ma2002a.txt,cbsa
2002,cbsa,09999,Pittsburgh  PA MSA,,,,09999,5160,6869,0.7512,783809,1709,134446,918255,ma2002a.txt,cbsa
2002,cbsa,09999,Pittsfield  MA MSA,,,,09999,162,164,0.9878,30782,2,99,30881,ma2002a.txt,cbsa
2002,cbsa,09999,Pocatello  ID MSA,,,,09999,301,346,0.8699,31357,45,2150,33507,ma2002a.txt,cbsa
2002,cbsa,09999,Portland  ME MSA,,,,09999,1254,1560,0.8038,200036,306,26279,226315,ma2002a.txt,cbsa
2002,cbsa,09999,Providence-Fall River-Warwick  RI-MA MSA,,,,09999,2486,3220,0.772,362457,734,31624,394081,ma2002a.txt,cbsa
2002,cbsa,09999,Provo-Orem  UT MSA,,,,09999,2920,3725,0.7839,470548,805,75230,545778,ma2002a.txt,cbsa
2002,cbsa,09999,Pueblo  CO MSA,,,,09999,1075,1303,0.825,114348,228,8501,122849,ma2002a.txt,cbsa
2002,cbsa,09999,Punta Gorda  FL MSA,,,,09999,1589,1992,0.7977,242117,403,43425,285542,ma2002a.txt,cbsa
2002,cbsa,09999,Raleigh-Durham-Chapel Hill  NC MSA,,,,09999,13911,16158,0.8609,2048129,2247,182347,2230476,ma2002a.txt,cbsa
2002,cbsa,09999,Rapid City  SD MSA,,,,09999,568,822,0.691,67591,254,13476,81067,ma2002a.txt,cbsa
2002,cbsa,09999,Reading  PA MSA,,,,09999,1754,2121,0.827,235707,367,29618,265325,ma2002a.txt,cbsa
2002,cbsa,09999,Redding  CA MSA,,,,09999,1160,1341,0.865,180408,181,12830,193238,ma2002a.txt,cbsa
2002,cbsa,09999,Reno  NV MSA,,,,09999,3776,4691,0.8049,581056,915,58873,639929,ma2002a.txt,cbsa
2002,cbsa,09999,Richland-Kennewick-Pasco  WA MSA,,,,09999,1893,2247,0.8425,235761,354,18287,254048,ma2002a.txt,cbsa
2002,cbsa,09999,Richmond-Petersburg  VA MSA,,,,09999,6887,8650,0.7962,906342,1763,77508,983850,ma2002a.txt,cbsa
2002,cbsa,09999,Roanoke  VA MSA,,,,09999,977,1060,0.9217,82499,83,6219,88718,ma2002a.txt,cbsa
2002,cbsa,09999,Rochester  MN MSA,,,,09999,1279,1532,0.8349,190106,253,53133,243239,ma2002a.txt,cbsa
2002,cbsa,09999,Rochester  NY MSA,,,,09999,2554,3091,0.8263,413689,537,27037,440726,ma2002a.txt,cbsa
2002,cbsa,09999,Rockford  IL MSA,,,,09999,1794,2245,0.7991,174479,451,21484,195963,ma2002a.txt,cbsa
2002,cbsa,09999,Rocky Mount  NC MSA,,,,09999,645,912,0.7072,56752,267,15879,72631,ma2002a.txt,cbsa
2002,cbsa,09999,Saginaw-Bay City-Midland  MI MSA,,,,09999,1196,1229,0.9731,154498,33,2920,157418,ma2002a.txt,cbsa
2002,cbsa,09999,St. Cloud  MN MSA,,,,09999,1474,1848,0.7976,196593,374,20920,217513,ma2002a.txt,cbsa
