year,geography_type,geography_id,geography_name,state_fips,county_fips,full_county_fips,cbsa_code,single_family_units,total_units,single_family_share,single_family_value,multifamily_units,multifamily_value,total_value,source_file,geo_level
2002,cbsa,09999,St. Joseph  MO MSA,,,,09999,226,272,0.8309,31603,46,4093,35696,ma2002a.txt,cbsa
2002,cbsa,09999,St. Louis  MO-IL MSA,,,,09999,11002,14023,0.7846,1537636,3021,196037,1733673,ma2002a.txt,cbsa
2002,cbsa,09999,Salinas  CA MSA,,,,09999,1054,1222,0.8625,250502,168,9940,260442,ma2002a.txt,cbsa
2002,cbsa,09999,Salt Lake City-Ogden  UT MSA,,,,09999,7546,9530,0.7918,1010317,1984,160583,1170900,ma2002a.txt,cbsa
2002,cbsa,09999,San Angelo  TX MSA,,,,09999,251,251,1.0,29165,0,0,29165,ma2002a.txt,cbsa
2002,cbsa,09999,San Antonio  TX MSA,,,,09999,10051,12772,0.787,958393,2721,107145,1065538,ma2002a.txt,cbsa
2002,cbsa,09999,San Diego  CA MSA,,,,09999,8880,13684,0.6489,2073638,4804,425901,2499539,ma2002a.txt,cbsa
2002,cbsa,09999,San Luis Obispo-Atascadero-Paso Robles  CA MSA,,,,09999,1690,1993,0.848,299886,303,20134,320020,ma2002a.txt,cbsa
2002,cbsa,09999,Santa Barbara-Santa Maria-Lompoc  CA MSA,,,,09999,953,1696,0.5619,206157,743,68832,274989,ma2002a.txt,cbsa
2002,cbsa,09999,Santa Fe  NM MSA,,,,09999,739,767,0.9635,118058,28,2188,120246,ma2002a.txt,cbsa
2002,cbsa,09999,Sarasota-Bradenton  FL MSA,,,,09999,6903,10186,0.6777,1170176,3283,254987,1425163,ma2002a.txt,cbsa
2002,cbsa,09999,Savannah  GA MSA,,,,09999,1980,2691,0.7358,264560,711,42675,307235,ma2002a.txt,cbsa
2002,cbsa,09999,Scranton--Wilkes-Barre--Hazleton  PA MSA,,,,09999,1460,1735,0.8415,194350,275,16666,211016,ma2002a.txt,cbsa
2002,cbsa,09999,Sharon  PA MSA,,,,09999,421,461,0.9132,47358,40,1460,48818,ma2002a.txt,cbsa
2002,cbsa,09999,Sheboygan  WI MSA,,,,09999,405,680,0.5956,67241,275,12372,79613,ma2002a.txt,cbsa
2002,cbsa,09999,Sherman-Denison  TX MSA,,,,09999,340,356,0.9551,34104,16,1304,35408,ma2002a.txt,cbsa
2002,cbsa,09999,Shreveport-Bossier City  LA MSA,,,,09999,1218,1442,0.8447,177015,224,5213,182228,ma2002a.txt,cbsa
2002,cbsa,09999,Sioux City  IA-NE MSA,,,,09999,256,271,0.9446,29274,15,1185,30459,ma2002a.txt,cbsa
2002,cbsa,09999,Sioux Falls  SD MSA,,,,09999,1569,1999,0.7849,170948,430,24084,195032,ma2002a.txt,cbsa
2002,cbsa,09999,South Bend  IN MSA,,,,09999,783,1181,0.663,126464,398,17586,144050,ma2002a.txt,cbsa
2002,cbsa,09999,Spokane  WA MSA,,,,09999,1493,2066,0.7227,194834,573,34464,229298,ma2002a.txt,cbsa
2002,cbsa,09999,Springfield  IL MSA,,,,09999,674,930,0.7247,95137,256,15175,110312,ma2002a.txt,cbsa
2002,cbsa,09999,Springfield  MO MSA,,,,09999,2319,3419,0.6783,314682,1100,39940,354622,ma2002a.txt,cbsa
2002,cbsa,09999,Springfield  MA MSA,,,,09999,1121,1293,0.867,183553,172,13782,197335,ma2002a.txt,cbsa
2002,cbsa,09999,State College  PA MSA,,,,09999,877,995,0.8814,110420,118,8094,118514,ma2002a.txt,cbsa
2002,cbsa,09999,Steubenville-Weirton  OH-WV MSA,,,,09999,84,187,0.4492,10692,103,4299,14991,ma2002a.txt,cbsa
2002,cbsa,09999,Stockton-Lodi  CA MSA,,,,09999,5654,6143,0.9204,973300,489,31146,1004446,ma2002a.txt,cbsa
2002,cbsa,09999,Sumter  SC MSA,,,,09999,330,404,0.8168,31794,74,4628,36422,ma2002a.txt,cbsa
2002,cbsa,09999,Syracuse  NY MSA,,,,09999,1742,2083,0.8363,206322,341,15661,221983,ma2002a.txt,cbsa
2002,cbsa,09999,Tallahassee  FL MSA,,,,09999,1616,2824,0.5722,209665,1208,62078,271743,ma2002a.txt,cbsa
2002,cbsa,09999,Tampa-St. Petersburg-Clearwater  FL MSA,,,,09999,17546,23542,0.7453,2196789,5996,371986,2568775,ma2002a.txt,cbsa
2002,cbsa,09999,Terre Haute  IN MSA,,,,09999,368,385,0.9558,47533,17,1459,48992,ma2002a.txt,cbsa
2002,cbsa,09999,Texarkana  TX-Texarkana  AR MSA,,,,09999,224,388,0.5773,19162,164,4433,23595,ma2002a.txt,cbsa
2002,cbsa,09999,Toledo  OH MSA,,,,09999,1860,2393,0.7773,290972,533,28011,318983,ma2002a.txt,cbsa
2002,cbsa,09999,Topeka  KS MSA,,,,09999,669,1077,0.6212,103202,408,16909,120111,ma2002a.txt,cbsa
2002,cbsa,09999,Tucson  AZ MSA,,,,09999,6114,7147,0.8555,903991,1033,75725,979716,ma2002a.txt,cbsa
2002,cbsa,09999,Tulsa  OK MSA,,,,09999,3793,4506,0.8418,502760,713,58371,561131,ma2002a.txt,cbsa
2002,cbsa,09999,Tuscaloosa  AL MSA,,,,09999,634,1300,0.4877,89574,666,17322,106896,ma2002a.txt,cbsa
2002,cbsa,09999,Tyler  TX MSA,,,,09999,548,631,0.8685,81329,83,3858,85187,ma2002a.txt,cbsa
2002,cbsa,09999,Utica-Rome  NY MSA,,,,09999,470,474,0.9916,59459,4,454,59913,ma2002a.txt,cbsa
2002,cbsa,09999,Victoria  TX MSA,,,,09999,212,212,1.0,20056,0,0,20056,ma2002a.txt,cbsa
2002,cbsa,09999,Visalia-Tulare-Porterville  CA MSA,,,,09999,1832,1993,0.9192,245211,161,10743,255954,ma2002a.txt,cbsa
2002,cbsa,09999,Waco  TX MSA,,,,09999,526,793,0.6633,68578,267,13869,82447,ma2002a.txt,cbsa
2002,cbsa,09999,Waterloo-Cedar Falls  IA MSA,,,,09999,255,466,0.5472,38259,211,15451,53710,ma2002a.txt,cbsa
2002,cbsa,09999,Wausau  WI MSA,,,,09999,820,922,0.8894,112482,102,6953,119435,ma2002a.txt,cbsa
2002,cbsa,09999,West Palm Beach-Boca Raton  FL MSA,,,,09999,9437,12960,0.7282,1575381,3523,290169,1865550,ma2002a.txt,cbsa
2002,cbsa,09999,Wheeling  WV-OH MSA,,,,09999,42,44,0.9545,4957,2,150,5107,ma2002a.txt,cbsa
2002,cbsa,09999,Wichita  KS MSA,,,,09999,2817,3178,0.8864,325263,361,18447,343710,ma2002a.txt,cbsa
2002,cbsa,09999,Wichita Falls  TX MSA,,,,09999,256,490,0.5224,31563,234,8234,39797,ma2002a.txt,cbsa
2002,cbsa,09999,Williamsport  PA MSA,,,,09999,321,355,0.9042,35585,34,1873,37458,ma2002a.txt,cbsa
2002,cbsa,09999,Wilmington  NC MSA,,,,09999,4290,5074,0.8455,637493,784,65757,703250,ma2002a.txt,cbsa
2002,cbsa,09999,Yakima  WA MSA,,,,09999,366,534,0.6854,50363,168,9935,60298,ma2002a.txt,cbsa
2002,cbsa,09999,York  PA MSA,,,,09999,2423,2956,0.8197,295783,533,29991,325774,ma2002a.txt,cbsa
2002,cbsa,09999,Youngstown-Warren  OH MSA,,,,09999,1086,1263,0.8599,140082,177,12458,152540,ma2002a.txt,cbsa
2002,cbsa,09999,Yuba City  CA MSA,,,,09999,1033,1041,0.9923,162394,8,711,163105,ma2002a.txt,cbsa
2002,cbsa,09999,Yuma  AZ MSA,,,,09999,1563,1726,0.9056,141242,163,8559,149801,ma2002a.txt,cbsa
2002,cbsa,09999,Boston-Worcester-Lawrence  MA-NH-ME-CT CMSA,,,,09999,12852,17853,0.7199,2278195,5001,406566,2684761,ma2002a.txt,cbsa
2002,cbsa,09999,Chicago-Gary-Kenosha  IL-IN-WI CMSA,,,,09999,33971,49358,0.6883,5874740,15387,1538661,7413401,ma2002a.txt,cbsa
2002,cbsa,09999,Cincinnati-Hamilton  OH-KY-IN CMSA,,,,09999,10417,12703,0.82,1381562,2286,122120,1503682,ma2002a.txt,cbsa
2002,cbsa,09999,Cleveland-Akron  OH CMSA,,,,09999,8791,9878,0.89,1565872,1087,82850,1648722,ma2002a.txt,cbsa
2002,cbsa,09999,Dallas-Fort Worth  TX CMSA,,,,09999,38309,51621,0.7421,6004303,13312,704076,6708379,ma2002a.txt,cbsa
2002,cbsa,09999,Denver-Boulder-Greeley  CO CMSA,,,,09999,19290,28657,0.6731,3045495,9367,631216,3676711,ma2002a.txt,cbsa
2002,cbsa,09999,Detroit-Ann Arbor-Flint  MI CMSA,,,,09999,20697,25251,0.8197,3115521,4554,342357,3457878,ma2002a.txt,cbsa
2002,cbsa,09999,Houston-Galveston-Brazoria  TX CMSA,,,,09999,34636,47037,0.7364,4516650,12401,629803,5146453,ma2002a.txt,cbsa
2002,cbsa,09999,Los Angeles-Riverside-Orange County  CA CMSA,,,,09999,47361,63249,0.7488,9216704,15888,1527662,10744366,ma2002a.txt,cbsa
2002,cbsa,09999,Miami-Fort Lauderdale  FL CMSA,,,,09999,12079,26634,0.4535,1529596,14555,1361899,2891495,ma2002a.txt,cbsa
2002,cbsa,09999,Milwaukee-Racine  WI CMSA,,,,09999,4098,6887,0.595,817119,2789,223329,1040448,ma2002a.txt,cbsa
2002,cbsa,09999,New York-Northern New Jersey-Long Island  NY-NJ-CT-PA CMSA,,,,09999,28825,56017,0.5146,4775046,27192,2179676,6954722,ma2002a.txt,cbsa
2002,cbsa,09999,Philadelphia-Wilmington-Atlantic City  PA-NJ-DE-MD CMSA,,,,09999,19311,22746,0.849,2355189,3435,212318,2567507,ma2002a.txt,cbsa
2002,cbsa,09999,Portland-Salem  OR-WA CMSA,,,,09999,11974,16291,0.735,2067375,4317,344818,2412193,ma2002a.txt,cbsa
2002,cbsa,09999,Sacramento-Yolo  CA CMSA,,,,09999,17614,22099,0.797,3273005,4485,329946,3602951,ma2002a.txt,cbsa
2002,cbsa,09999,San Francisco-Oakland-San Jose  CA CMSA,,,,09999,14929,23031,0.6482,3766644,8102,738621,4505265,ma2002a.txt,cbsa
2002,cbsa,09999,Seattle-Tacoma-Bremerton  WA CMSA,,,,09999,17619,24521,0.7185,2958857,6902,609181,3568038,ma2002a.txt,cbsa
2002,cbsa,09999,Washington-Baltimore  DC-MD-VA-WV CMSA,,,,09999,40331,52951,0.7617,5396535,12620,708869,6105404,ma2002a.txt,cbsa
