geo_level,geography_id,geography_name,missing_year
county,04009,Graham County,2025
county,04011,Greenlee County,2025
county,04012,La Paz County,2025
county,04013,Maricopa County,2025
county,04015,Mohave County,2025
county,04017,Navajo County,2025
county,04019,Pima County,2025
county,04021,Pinal County,2025
county,04023,Santa Cruz County,2025
county,04025,Yavapai County,2025
county,04027,Yuma County,2025
county,05001,Arkansas County,2025
county,05003,Ashley County,2025
county,05005,Baxter County,2025
county,05007,Benton County,2025
county,05009,Boone County,2025
county,05011,Bradley County,2025
county,05013,Calhoun County,2025
county,05015,Carroll County,2025
county,05017,Chicot County,2025
county,05019,Clark County,2025
county,05021,Clay County,2025
county,05023,Cleburne County,2025
county,05025,Cleveland County,2025
county,05027,Columbia County,2025
county,05029,Conway County,2025
county,05031,Craighead County,2025
county,05033,Crawford County,2025
county,05035,Crittenden County,2025
county,05037,Cross County,2025
county,05039,Dallas County,2025
county,05041,Desha County,2025
county,05043,Drew County,2025
county,05045,Faulkner County,2025
county,05047,Franklin County,2025
county,05049,Fulton County,2025
county,05051,Garland County,2025
county,05053,Grant County,2025
county,05055,Greene County,2025
county,05057,Hempstead County,2025
county,05059,Hot Spring County,2025
county,05061,Howard County,2025
county,05063,Independence County,2025
county,05065,Izard County,2025
county,05067,Jackson County,2025
county,05069,Jefferson County,2025
county,05071,Johnson County,2025
county,05073,Lafayette County,2025
county,05075,Lawrence County,2025
county,05077,Lee County,2025
county,05079,Lincoln County,2025
county,05081,Little River County,2025
county,05083,Logan County,2025
county,05085,Lonoke County,2025
county,05087,Madison County,2025
county,05089,Marion County,2025
county,05091,Miller County,2025
county,05093,Mississippi County,2025
county,05095,Monroe County,2025
county,05099,Nevada County,2025
county,05101,Newton County,2025
county,05103,Ouachita County,2025
county,05105,Perry County,2025
county,05107,Phillips County,2025
county,05111,Poinsett County,2025
county,05113,Polk County,2025
county,05115,Pope County,2025
county,05117,Prairie County,2025
county,05119,Pulaski County,2025
county,05121,Randolph County,2025
county,05123,St. Francis County,2025
county,05125,Saline County,2025
county,05127,Scott County,2025
county,05129,Searcy County,2025
county,05131,Sebastian County,2025
county,05133,Sevier County,2025
county,05135,Sharp County,2025
county,05137,Stone County,2025
county,05139,Union County,2025
county,05141,Van Buren County,2025
county,05143,Washington County,2025
county,05145,White County,2025
county,05147,Woodruff County,2025
county,05149,Yell County,2025
county,06001,Alameda County,2025
county,06003,Alpine County,2025
county,06005,Amador County,2025
county,06007,Butte County,2025
county,06009,Calaveras County,2025
county,06011,Colusa County,2025
county,06013,Contra Costa County,2025
county,06015,Del Norte County,2025
county,06017,El Dorado County,2025
county,06019,Fresno County,2025
county,06021,Glenn County,2025
county,06023,Humboldt County,2025
county,06025,Imperial County,2025
county,06027,Inyo County,2025
county,06029,Kern County,2025
county,06031,Kings County,2025
county,06033,Lake County,2025
county,06035,Lassen County,2025
county,06037,Los Angeles County,2025
county,06039,Madera County,2025
county,06041,Marin County,2025
county,06043,Mariposa County,2025
county,06045,Mendocino County,2025
county,06047,Merced County,2025
county,06049,Modoc County,2025
county,06051,Mono County,2025
county,06053,Monterey County,2025
county,06055,Napa County,2025
county,06057,Nevada County,2025
county,06059,Orange County,2025
county,06061,Placer County,2025
county,06063,Plumas County,2025
county,06065,Riverside County,2025
county,06067,Sacramento County,2025
county,06069,San Benito County,2025
county,06071,San Bernardino County,2025
county,06073,San Diego County,2025
county,06075,San Francisco County,2025
county,06077,San Joaquin County,2025
county,06079,San Luis Obispo County,2025
county,06081,San Mateo County,2025
county,06083,Santa Barbara County,2025
county,06085,Santa Clara County,2025
county,06087,Santa Cruz County,2025
county,06089,Shasta County,2025
county,06091,Sierra County,2025
county,06093,Siskiyou County,2025
county,06095,Solano County,2025
county,06097,Sonoma County,2025
county,06099,Stanislaus County,2025
county,06101,Sutter County,2025
county,06103,Tehama County,2025
county,06105,Trinity County,2025
county,06107,Tulare County,2025
county,06109,Tuolumne County,2025
county,06111,Ventura County,2025
county,06113,Yolo County,2025
county,06115,Yuba County,2025
county,08001,Adams County,2025
county,08003,Alamosa County,2025
county,08005,Arapahoe County,2025
county,08007,Archuleta County,2025
county,08009,Baca County,2025
county,08011,Bent County,2025
county,08013,Boulder County,2025
county,08015,Chaffee County,2025
county,08017,Cheyenne County,2025
county,08019,Clear Creek County,2025
county,08021,Conejos County,2025
county,08025,Crowley County,2025
county,08027,Custer County,2025
county,08029,Delta County,2025
county,08031,Denver County,2025
county,08033,Dolores County,2025
county,08035,Douglas County,2025
county,08037,Eagle County,2025
county,08039,Elbert County,2025
county,08041,El Paso County,2025
county,08043,Fremont County,2025
county,08045,Garfield County,2025
county,08047,Gilpin County,2025
county,08049,Grand County,2025
county,08051,Gunnison County,2025
county,08053,Hinsdale County,2025
county,08055,Huerfano County,2025
county,08057,Jackson County,2025
county,08059,Jefferson County,2025
county,08061,Kiowa County,2025
county,08063,Kit Carson County,2025
county,08065,Lake County,2025
county,08067,La Plata County,2025
county,08069,Larimer County,2025
county,08071,Las Animas County,2025
county,08073,Lincoln County,2025
county,08075,Logan County,2025
county,08077,Mesa County,2025
county,08079,Mineral County,2025
county,08081,Moffat County,2025
county,08083,Montezuma County,2025
county,08085,Montrose County,2025
county,08087,Morgan County,2025
county,08089,Otero County,2025
county,08091,Ouray County,2025
county,08093,Park County,2025
county,08095,Phillips County,2025
county,08097,Pitkin County,2025
county,08099,Prowers County,2025
county,08101,Pueblo County,2025
county,08103,Rio Blanco County,2025
county,08105,Rio Grande County,2025
county,08107,Routt County,2025
county,08109,Saguache County,2025
county,08111,San Juan County,2025
county,08113,San Miguel County,2025
county,08115,Sedgwick County,2025
county,08117,Summit County,2025
county,08119,Teller County,2025
county,08121,Washington County,2025
county,08123,Weld County,2025
county,08125,Yuma County,2025
county,09001,Fairfield County,2023
county,09001,Fairfield County,2024
county,09001,Fairfield County,2025
county,09003,Hartford County,2023
county,09003,Hartford County,2024
county,09003,Hartford County,2025
county,09005,Litchfield County,2023
county,09005,Litchfield County,2024
county,09005,Litchfield County,2025
county,09007,Middlesex County,2023
county,09007,Middlesex County,2024
county,09007,Middlesex County,2025
county,09009,New Haven County,2023
county,09009,New Haven County,2024
county,09009,New Haven County,2025
county,09011,New London County,2023
county,09011,New London County,2024
county,09011,New London County,2025
county,09013,Tolland County,2023
county,09013,Tolland County,2024
county,09013,Tolland County,2025
county,09015,Windham County,2023
county,09015,Windham County,2024
county,09015,Windham County,2025
county,10001,Kent County,2025
county,10003,New Castle County,2025
county,10005,Sussex County,2025
county,11001,Washington  DC,2025
county,12001,Alachua County,2025
county,12003,Baker County,2025
