year,geography_type,geography_id,geography_name,state_fips,county_fips,full_county_fips,cbsa_code,single_family_units,total_units,single_family_share,single_family_value,multifamily_units,multifamily_value,total_value,yoy_change_units,yoy_percent_change,rolling_3yr_avg,cumulative_sfh_2000_2025,cumulative_sfh_2010_2025,cumulative_sfh_2020_2025,source_file
2024,cbsa,10100,Aberdeen  SD,,,,10100,70,86,0.814,13885,16,1189,15074,,,,70.0,70.0,70.0,cbsa2024a.txt
2024,cbsa,10140,Aberdeen  WA,,,,10140,251,288,0.8715,77136,37,6488,83624,,,,251.0,251.0,251.0,cbsa2024a.txt
2004,cbsa,10180,Abilene  TX,,,,10180,283,291,0.9725,41533,8,611,42144,84.0,42.21,,482.0,,,ma2004a.txt
2005,cbsa,10180,Abilene  TX,,,,10180,310,346,0.896,48199,36,2839,51038,27.0,9.54,,792.0,,,ma2005a.txt
2006,cbsa,10180,Abilene  TX,,,,10180,333,365,0.9123,58363,32,2894,61257,23.0,7.42,308.7,1125.0,,,ma2006a.txt
2007,cbsa,10180,Abilene  TX,,,,10180,283,293,0.9659,45874,10,993,46867,-50.0,-15.02,308.7,1408.0,,,ma2007a.txt
2008,cbsa,10180,Abilene  TX,,,,10180,190,196,0.9694,31926,6,606,32532,-93.0,-32.86,268.7,1598.0,,,ma2008a.txt
2009,cbsa,10180,Abilene  TX,,,,10180,214,214,1.0,37941,0,0,37941,24.0,12.63,229.0,1812.0,,,ma2009a.txt
2010,cbsa,10180,Abilene  TX,,,,10180,272,390,0.6974,39642,118,3941,43583,58.0,27.1,225.3,2084.0,272.0,,ma2010a.txt
2011,cbsa,10180,Abilene  TX,,,,10180,153,159,0.9623,27402,6,626,28028,-119.0,-43.75,213.0,2237.0,425.0,,ma2011a.txt
2012,cbsa,10180,Abilene  TX,,,,10180,241,455,0.5297,47373,214,16980,64353,88.0,57.52,222.0,2478.0,666.0,,ma2012a.txt
2013,cbsa,10180,Abilene  TX,,,,10180,292,306,0.9542,62475,14,1035,63510,51.0,21.16,228.7,2770.0,958.0,,ma2013a.txt
2014,cbsa,10180,Abilene  TX,,,,10180,284,284,1.0,58424,0,0,58424,-8.0,-2.74,272.3,3054.0,1242.0,,ma2014a.txt
2015,cbsa,10180,Abilene  TX,,,,10180,303,535,0.5664,66562,232,14534,81096,19.0,6.69,293.0,3357.0,1545.0,,ma2015a.txt
2016,cbsa,10180,Abilene  TX,,,,10180,298,306,0.9739,55193,8,400,55593,-5.0,-1.65,295.0,3655.0,1843.0,,ma2016a.txt
2017,cbsa,10180,Abilene  TX,,,,10180,282,322,0.8758,60266,40,3055,63321,-16.0,-5.37,294.3,3937.0,2125.0,,ma2017a.txt
2018,cbsa,10180,Abilene  TX,,,,10180,335,357,0.9384,73056,22,1811,74867,53.0,18.79,305.0,4272.0,2460.0,,ma2018a.txt
2019,cbsa,10180,Abilene  TX,,,,10180,354,370,0.9568,72824,16,2093,74917,19.0,5.67,323.7,4626.0,2814.0,,ma2019a.txt
2020,cbsa,10180,Abilene  TX,,,,10180,397,663,0.5988,82567,266,24452,107019,43.0,12.15,362.0,5023.0,3211.0,397.0,ma2020a.txt
2021,cbsa,10180,Abilene  TX,,,,10180,506,883,0.573,108744,377,41752,150496,109.0,27.46,419.0,5529.0,3717.0,903.0,ma2021a.txt
2022,cbsa,10180,Abilene  TX,,,,10180,473,799,0.592,114059,326,29698,143757,-33.0,-6.52,458.7,6002.0,4190.0,1376.0,ma2022a.txt
2023,cbsa,10180,Abilene  TX,,,,10180,342,462,0.7403,92755,120,14907,107662,-131.0,-27.7,440.3,6344.0,4532.0,1718.0,ma2023a.txt
2024,cbsa,10180,Abilene  TX,,,,10180,431,527,0.8178,120144,96,14788,134932,89.0,26.02,415.3,6775.0,4963.0,2149.0,cbsa2024a.txt
2024,cbsa,10220,Ada  OK,,,,10220,2,2,1.0,1100,0,0,1100,,,,2.0,2.0,2.0,cbsa2024a.txt
2024,cbsa,10300,Adrian  MI,,,,10300,160,168,0.9524,51684,8,1500,53184,,,,160.0,160.0,160.0,cbsa2024a.txt
2004,cbsa,10420,Akron  OH,,,,10420,2480,2934,0.8453,453404,454,23588,476992,-250.0,-9.16,,5210.0,,,ma2004a.txt
2005,cbsa,10420,Akron  OH,,,,10420,2310,2724,0.848,446409,414,24032,470441,-170.0,-6.85,,7520.0,,,ma2005a.txt
2006,cbsa,10420,Akron  OH,,,,10420,1746,2209,0.7904,354262,463,24034,378296,-564.0,-24.42,2178.7,9266.0,,,ma2006a.txt
2007,cbsa,10420,Akron  OH,,,,10420,1379,1594,0.8651,270769,215,9500,280269,-367.0,-21.02,1811.7,10645.0,,,ma2007a.txt
2008,cbsa,10420,Akron  OH,,,,10420,871,1039,0.8383,167613,168,7520,175133,-508.0,-36.84,1332.0,11516.0,,,ma2008a.txt
2009,cbsa,10420,Akron  OH,,,,10420,670,741,0.9042,110215,71,3266,113481,-201.0,-23.08,973.3,12186.0,,,ma2009a.txt
2010,cbsa,10420,Akron  OH,,,,10420,657,736,0.8927,124395,79,3336,127731,-13.0,-1.94,732.7,12843.0,657.0,,ma2010a.txt
2011,cbsa,10420,Akron  OH,,,,10420,637,1122,0.5677,116740,485,26327,143067,-20.0,-3.04,654.7,13480.0,1294.0,,ma2011a.txt
2012,cbsa,10420,Akron  OH,,,,10420,611,618,0.9887,129414,7,580,129994,-26.0,-4.08,635.0,14091.0,1905.0,,ma2012a.txt
2013,cbsa,10420,Akron  OH,,,,10420,666,690,0.9652,157912,24,5400,163312,55.0,9.0,638.0,14757.0,2571.0,,ma2013a.txt
2014,cbsa,10420,Akron  OH,,,,10420,684,763,0.8965,173540,79,7900,181440,18.0,2.7,653.7,15441.0,3255.0,,ma2014a.txt
2015,cbsa,10420,Akron  OH,,,,10420,792,967,0.819,192844,175,16850,209694,108.0,15.79,714.0,16233.0,4047.0,,ma2015a.txt
2016,cbsa,10420,Akron  OH,,,,10420,905,909,0.9956,226169,4,500,226669,113.0,14.27,793.7,17138.0,4952.0,,ma2016a.txt
2017,cbsa,10420,Akron  OH,,,,10420,901,920,0.9793,225302,19,1800,227102,-4.0,-0.44,866.0,18039.0,5853.0,,ma2017a.txt
2018,cbsa,10420,Akron  OH,,,,10420,1011,1210,0.8355,387058,199,27410,414468,110.0,12.21,939.0,19050.0,6864.0,,ma2018a.txt
2019,cbsa,10420,Akron  OH,,,,10420,856,945,0.9058,343432,89,4077,347509,-155.0,-15.33,922.7,19906.0,7720.0,,ma2019a.txt
2020,cbsa,10420,Akron  OH,,,,10420,788,914,0.8621,362361,126,4707,367068,-68.0,-7.94,885.0,20694.0,8508.0,788.0,ma2020a.txt
2021,cbsa,10420,Akron  OH,,,,10420,881,1215,0.7251,257240,334,23720,280960,93.0,11.8,841.7,21575.0,9389.0,1669.0,ma2021a.txt
2022,cbsa,10420,Akron  OH,,,,10420,796,3047,0.2612,263252,2251,306338,569590,-85.0,-9.65,821.7,22371.0,10185.0,2465.0,ma2022a.txt
2023,cbsa,10420,Akron  OH,,,,10420,709,940,0.7543,240822,231,39512,280334,-87.0,-10.93,795.3,23080.0,10894.0,3174.0,ma2023a.txt
2024,cbsa,10420,Akron  OH,,,,10420,761,1282,0.5936,249423,521,74482,323905,52.0,7.33,755.3,23841.0,11655.0,3935.0,cbsa2024a.txt
2024,cbsa,10460,Alamogordo  NM,,,,10460,6,6,1.0,2247,0,0,2247,,,,6.0,6.0,6.0,cbsa2024a.txt
2024,cbsa,10480,Alamosa  CO,,,,10480,202,214,0.9439,74711,12,1843,76554,,,,202.0,202.0,202.0,cbsa2024a.txt
2004,cbsa,10500,Albany  GA,,,,10500,671,873,0.7686,79035,202,9282,88317,60.0,9.82,,1282.0,,,ma2004a.txt
2005,cbsa,10500,Albany  GA,,,,10500,689,751,0.9174,77515,62,3186,80701,18.0,2.68,,1971.0,,,ma2005a.txt
2006,cbsa,10500,Albany  GA,,,,10500,647,727,0.89,75651,80,5045,80696,-42.0,-6.1,669.0,2618.0,,,ma2006a.txt
2007,cbsa,10500,Albany  GA,,,,10500,463,590,0.7847,53300,127,9819,63119,-184.0,-28.44,599.7,3081.0,,,ma2007a.txt
2008,cbsa,10500,Albany  GA,,,,10500,237,294,0.8061,27744,57,3101,30845,-226.0,-48.81,449.0,3318.0,,,ma2008a.txt
2009,cbsa,10500,Albany  GA,,,,10500,183,213,0.8592,20946,30,1847,22793,-54.0,-22.78,294.3,3501.0,,,ma2009a.txt
2010,cbsa,10500,Albany  GA,,,,10500,172,248,0.6935,19851,76,7945,27796,-11.0,-6.01,197.3,3673.0,172.0,,ma2010a.txt
2011,cbsa,10500,Albany  GA,,,,10500,182,206,0.8835,20414,24,1542,21956,10.0,5.81,179.0,3855.0,354.0,,ma2011a.txt
2012,cbsa,10500,Albany  GA,,,,10500,201,229,0.8777,23111,28,1842,24953,19.0,10.44,185.0,4056.0,555.0,,ma2012a.txt
2013,cbsa,10500,Albany  GA,,,,10500,222,257,0.8638,26577,35,2179,28756,21.0,10.45,201.7,4278.0,777.0,,ma2013a.txt
2014,cbsa,10500,Albany  GA,,,,10500,235,271,0.8672,28674,36,2297,30971,13.0,5.86,219.3,4513.0,1012.0,,ma2014a.txt
2015,cbsa,10500,Albany  GA,,,,10500,166,203,0.8177,20961,37,2445,23406,-69.0,-29.36,207.7,4679.0,1178.0,,ma2015a.txt
2016,cbsa,10500,Albany  GA,,,,10500,176,230,0.7652,23686,54,4993,28679,10.0,6.02,192.3,4855.0,1354.0,,ma2016a.txt
2017,cbsa,10500,Albany  GA,,,,10500,411,416,0.988,38156,5,504,38660,235.0,133.52,251.0,5266.0,1765.0,,ma2017a.txt
2018,cbsa,10500,Albany  GA,,,,10500,170,188,0.9043,22277,18,1646,23923,-241.0,-58.64,252.3,5436.0,1935.0,,ma2018a.txt
2019,cbsa,10500,Albany  GA,,,,10500,182,402,0.4527,24644,220,32839,57483,12.0,7.06,254.3,5618.0,2117.0,,ma2019a.txt
2020,cbsa,10500,Albany  GA,,,,10500,173,367,0.4714,22551,194,22868,45419,-9.0,-4.95,175.0,5791.0,2290.0,173.0,ma2020a.txt
2021,cbsa,10500,Albany  GA,,,,10500,224,224,1.0,32292,0,0,32292,51.0,29.48,193.0,6015.0,2514.0,397.0,ma2021a.txt
2022,cbsa,10500,Albany  GA,,,,10500,169,202,0.8366,25104,33,3657,28761,-55.0,-24.55,188.7,6184.0,2683.0,566.0,ma2022a.txt
2023,cbsa,10500,Albany  GA,,,,10500,162,183,0.8852,27117,21,1903,29020,-7.0,-4.14,185.0,6346.0,2845.0,728.0,ma2023a.txt
2024,cbsa,10500,Albany  GA,,,,10500,192,259,0.7413,32955,67,8629,41584,30.0,18.52,174.3,6538.0,3037.0,920.0,cbsa2024a.txt
2014,cbsa,10540,Albany  OR,,,,10540,270,393,0.687,65175,123,12176,77351,,,,270.0,270.0,,ma2014a.txt
2015,cbsa,10540,Albany  OR,,,,10540,344,365,0.9425,78983,21,1951,80934,74.0,27.41,,614.0,614.0,,ma2015a.txt
2016,cbsa,10540,Albany  OR,,,,10540,395,405,0.9753,97926,10,837,98763,51.0,14.83,336.3,1009.0,1009.0,,ma2016a.txt
2017,cbsa,10540,Albany  OR,,,,10540,481,539,0.8924,118383,58,5603,123986,86.0,21.77,406.7,1490.0,1490.0,,ma2017a.txt
2018,cbsa,10540,Albany  OR,,,,10540,446,540,0.8259,112599,94,10077,122676,-35.0,-7.28,440.7,1936.0,1936.0,,ma2018a.txt
2019,cbsa,10540,Albany-Lebanon  OR,,,,10540,466,716,0.6508,111891,250,23550,135441,20.0,4.48,464.3,2402.0,2402.0,,ma2019a.txt
2020,cbsa,10540,Albany-Lebanon  OR,,,,10540,440,796,0.5528,107985,356,45203,153188,-26.0,-5.58,450.7,2842.0,2842.0,440.0,ma2020a.txt
2021,cbsa,10540,Albany-Lebanon  OR,,,,10540,385,620,0.621,100766,235,30851,131617,-55.0,-12.5,430.3,3227.0,3227.0,825.0,ma2021a.txt
2022,cbsa,10540,Albany-Lebanon  OR,,,,10540,220,327,0.6728,62862,107,16869,79731,-165.0,-42.86,348.3,3447.0,3447.0,1045.0,ma2022a.txt
2023,cbsa,10540,Albany-Lebanon  OR,,,,10540,239,377,0.634,71750,138,25399,97149,19.0,8.64,281.3,3686.0,3686.0,1284.0,ma2023a.txt
2024,cbsa,10540,Albany  OR,,,,10540,201,309,0.6505,67670,108,19598,87268,-38.0,-15.9,220.0,3887.0,3887.0,1485.0,cbsa2024a.txt
2004,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,2608,3268,0.798,493350,660,59268,552618,6.0,0.23,,5210.0,,,ma2004a.txt
2005,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,2284,3639,0.6276,460222,1355,109146,569368,-324.0,-12.42,,7494.0,,,ma2005a.txt
2006,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1836,2450,0.7494,402381,614,63473,465854,-448.0,-19.61,2242.7,9330.0,,,ma2006a.txt
2007,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1591,2703,0.5886,386651,1112,110993,497644,-245.0,-13.34,1903.7,10921.0,,,ma2007a.txt
2008,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1208,1892,0.6385,284705,684,88440,373145,-383.0,-24.07,1545.0,12129.0,,,ma2008a.txt
2009,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1109,1380,0.8036,250581,271,15719,266300,-99.0,-8.2,1302.7,13238.0,,,ma2009a.txt
2010,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1099,1429,0.7691,254034,330,25815,279849,-10.0,-0.9,1138.7,14337.0,1099.0,,ma2010a.txt
2011,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,890,1764,0.5045,205061,874,98946,304007,-209.0,-19.02,1032.7,15227.0,1989.0,,ma2011a.txt
2012,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1149,2226,0.5162,263776,1077,114593,378369,259.0,29.1,1046.0,16376.0,3138.0,,ma2012a.txt
2013,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1221,2009,0.6078,308203,788,76448,384651,72.0,6.27,1086.7,17597.0,4359.0,,ma2013a.txt
2014,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1203,2231,0.5392,296663,1028,110033,406696,-18.0,-1.47,1191.0,18800.0,5562.0,,ma2014a.txt
2015,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1185,3623,0.3271,290937,2438,300501,591438,-18.0,-1.5,1203.0,19985.0,6747.0,,ma2015a.txt
2016,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1380,2853,0.4837,361454,1473,150604,512058,195.0,16.46,1256.0,21365.0,8127.0,,ma2016a.txt
2017,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1212,2346,0.5166,321587,1134,122788,444375,-168.0,-12.17,1259.0,22577.0,9339.0,,ma2017a.txt
2018,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1231,2239,0.5498,333672,1008,233364,567036,19.0,1.57,1274.3,23808.0,10570.0,,ma2018a.txt
2019,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1120,1870,0.5989,309397,750,74174,383571,-111.0,-9.02,1187.7,24928.0,11690.0,,ma2019a.txt
2020,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1299,2046,0.6349,346666,747,87448,434114,179.0,15.98,1216.7,26227.0,12989.0,1299.0,ma2020a.txt
2021,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1385,2697,0.5135,413443,1312,204715,618158,86.0,6.62,1268.0,27612.0,14374.0,2684.0,ma2021a.txt
2022,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1266,2635,0.4805,410915,1369,231618,642533,-119.0,-8.59,1316.7,28878.0,15640.0,3950.0,ma2022a.txt
2023,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,976,1907,0.5118,350376,931,120070,470446,-290.0,-22.91,1209.0,29854.0,16616.0,4926.0,ma2023a.txt
2024,cbsa,10580,Albany-Schenectady-Troy  NY,,,,10580,1201,2366,0.5076,426445,1165,492989,919434,225.0,23.05,1147.7,31055.0,17817.0,6127.0,cbsa2024a.txt
2024,cbsa,10620,Albemarle  NC,,,,10620,367,367,1.0,61796,0,0,61796,,,,367.0,367.0,367.0,cbsa2024a.txt
2024,cbsa,10660,Albert Lea  MN,,,,10660,16,16,1.0,4794,0,0,4794,,,,16.0,16.0,16.0,cbsa2024a.txt
2024,cbsa,10700,Albertville  AL,,,,10700,161,163,0.9877,37877,2,200,38077,,,,161.0,161.0,161.0,cbsa2024a.txt
2004,cbsa,10740,Albuquerque  NM,,,,10740,7065,7455,0.9477,877174,390,18872,896046,243.0,3.56,,13887.0,,,ma2004a.txt
2005,cbsa,10740,Albuquerque  NM,,,,10740,6712,7038,0.9537,893042,326,16291,909333,-353.0,-5.0,,20599.0,,,ma2005a.txt
2006,cbsa,10740,Albuquerque  NM,,,,10740,6062,6822,0.8886,1028079,760,62014,1090093,-650.0,-9.68,6613.0,26661.0,,,ma2006a.txt
2007,cbsa,10740,Albuquerque  NM,,,,10740,3696,4499,0.8215,707302,803,67150,774452,-2366.0,-39.03,5490.0,30357.0,,,ma2007a.txt
2008,cbsa,10740,Albuquerque  NM,,,,10740,2037,2555,0.7973,371957,518,42430,414387,-1659.0,-44.89,3931.7,32394.0,,,ma2008a.txt
2009,cbsa,10740,Albuquerque  NM,,,,10740,1519,1692,0.8978,264075,173,14546,278621,-518.0,-25.43,2417.3,33913.0,,,ma2009a.txt
2010,cbsa,10740,Albuquerque  NM,,,,10740,1553,1764,0.8804,286406,211,17810,304216,34.0,2.24,1703.0,35466.0,1553.0,,ma2010a.txt
2011,cbsa,10740,Albuquerque  NM,,,,10740,1354,1634,0.8286,246306,280,23286,269592,-199.0,-12.81,1475.3,36820.0,2907.0,,ma2011a.txt
2012,cbsa,10740,Albuquerque  NM,,,,10740,1259,2084,0.6041,239377,825,67737,307114,-95.0,-7.02,1388.7,38079.0,4166.0,,ma2012a.txt
2013,cbsa,10740,Albuquerque  NM,,,,10740,1456,2606,0.5587,282950,1150,82056,365006,197.0,15.65,1356.3,39535.0,5622.0,,ma2013a.txt
2014,cbsa,10740,Albuquerque  NM,,,,10740,2128,2543,0.8368,407739,415,28581,436320,672.0,46.15,1614.3,41663.0,7750.0,,ma2014a.txt
2015,cbsa,10740,Albuquerque  NM,,,,10740,2012,2295,0.8767,415784,283,23687,439471,-116.0,-5.45,1865.3,43675.0,9762.0,,ma2015a.txt
2016,cbsa,10740,Albuquerque  NM,,,,10740,1931,2465,0.7834,402756,534,50503,453259,-81.0,-4.03,2023.7,45606.0,11693.0,,ma2016a.txt
2017,cbsa,10740,Albuquerque  NM,,,,10740,1996,2256,0.8848,426932,260,21806,448738,65.0,3.37,1979.7,47602.0,13689.0,,ma2017a.txt
2018,cbsa,10740,Albuquerque  NM,,,,10740,2086,2186,0.9543,463816,100,6475,470291,90.0,4.51,2004.3,49688.0,15775.0,,ma2018a.txt
2019,cbsa,10740,Albuquerque  NM,,,,10740,1872,2148,0.8715,446893,276,24741,471634,-214.0,-10.26,1984.7,51560.0,17647.0,,ma2019a.txt
2020,cbsa,10740,Albuquerque  NM,,,,10740,1925,2014,0.9558,489907,89,5126,495033,53.0,2.83,1961.0,53485.0,19572.0,1925.0,ma2020a.txt
2021,cbsa,10740,Albuquerque  NM,,,,10740,2535,4021,0.6304,645001,1486,123362,768363,610.0,31.69,2110.7,56020.0,22107.0,4460.0,ma2021a.txt
2022,cbsa,10740,Albuquerque  NM,,,,10740,1903,2852,0.6673,473538,949,95224,568762,-632.0,-24.93,2121.0,57923.0,24010.0,6363.0,ma2022a.txt
2023,cbsa,10740,Albuquerque  NM,,,,10740,2057,2834,0.7258,495214,777,65320,560534,154.0,8.09,2165.0,59980.0,26067.0,8420.0,ma2023a.txt
2024,cbsa,10740,Albuquerque  NM,,,,10740,2064,2876,0.7177,534780,812,85771,620551,7.0,0.34,2008.0,62044.0,28131.0,10484.0,cbsa2024a.txt
2024,cbsa,10760,Alexander City  AL,,,,10760,216,216,1.0,142121,0,0,142121,,,,216.0,216.0,216.0,cbsa2024a.txt
2004,cbsa,10780,Alexandria  LA,,,,10780,683,685,0.9971,81645,2,100,81745,146.0,27.19,,1220.0,,,ma2004a.txt
2005,cbsa,10780,Alexandria  LA,,,,10780,708,710,0.9972,85572,2,100,85672,25.0,3.66,,1928.0,,,ma2005a.txt
2006,cbsa,10780,Alexandria  LA,,,,10780,951,951,1.0,126167,0,0,126167,243.0,34.32,780.7,2879.0,,,ma2006a.txt
2007,cbsa,10780,Alexandria  LA,,,,10780,564,572,0.986,65016,8,1100,66116,-387.0,-40.69,741.0,3443.0,,,ma2007a.txt
2008,cbsa,10780,Alexandria  LA,,,,10780,374,382,0.9791,48389,8,800,49189,-190.0,-33.69,629.7,3817.0,,,ma2008a.txt
2009,cbsa,10780,Alexandria  LA,,,,10780,348,396,0.8788,53116,48,4645,57761,-26.0,-6.95,428.7,4165.0,,,ma2009a.txt
2010,cbsa,10780,Alexandria  LA,,,,10780,340,434,0.7834,55285,94,6766,62051,-8.0,-2.3,354.0,4505.0,340.0,,ma2010a.txt
2011,cbsa,10780,Alexandria  LA,,,,10780,280,376,0.7447,46019,96,6895,52914,-60.0,-17.65,322.7,4785.0,620.0,,ma2011a.txt
2012,cbsa,10780,Alexandria  LA,,,,10780,339,482,0.7033,56076,143,10225,66301,59.0,21.07,319.7,5124.0,959.0,,ma2012a.txt
2013,cbsa,10780,Alexandria  LA,,,,10780,340,402,0.8458,62835,62,4728,67563,1.0,0.29,319.7,5464.0,1299.0,,ma2013a.txt
2014,cbsa,10780,Alexandria  LA,,,,10780,311,323,0.9628,56565,12,1035,57600,-29.0,-8.53,330.0,5775.0,1610.0,,ma2014a.txt
2015,cbsa,10780,Alexandria  LA,,,,10780,241,289,0.8339,42837,48,4376,47213,-70.0,-22.51,297.3,6016.0,1851.0,,ma2015a.txt
2016,cbsa,10780,Alexandria  LA,,,,10780,326,390,0.8359,69097,64,4021,73118,85.0,35.27,292.7,6342.0,2177.0,,ma2016a.txt
2017,cbsa,10780,Alexandria  LA,,,,10780,292,302,0.9669,62556,10,747,63303,-34.0,-10.43,286.3,6634.0,2469.0,,ma2017a.txt
2018,cbsa,10780,Alexandria  LA,,,,10780,289,305,0.9475,64223,16,1022,65245,-3.0,-1.03,302.3,6923.0,2758.0,,ma2018a.txt
2019,cbsa,10780,Alexandria  LA,,,,10780,303,333,0.9099,71676,30,1827,73503,14.0,4.84,294.7,7226.0,3061.0,,ma2019a.txt
2020,cbsa,10780,Alexandria  LA,,,,10780,287,313,0.9169,65913,26,1691,67604,-16.0,-5.28,293.0,7513.0,3348.0,287.0,ma2020a.txt
2021,cbsa,10780,Alexandria  LA,,,,10780,273,289,0.9446,69429,16,1325,70754,-14.0,-4.88,287.7,7786.0,3621.0,560.0,ma2021a.txt
2022,cbsa,10780,Alexandria  LA,,,,10780,313,353,0.8867,77208,40,2900,80108,40.0,14.65,291.0,8099.0,3934.0,873.0,ma2022a.txt
2023,cbsa,10780,Alexandria  LA,,,,10780,223,241,0.9253,54804,18,1305,56109,-90.0,-28.75,269.7,8322.0,4157.0,1096.0,ma2023a.txt
2024,cbsa,10780,Alexandria  LA,,,,10780,219,241,0.9087,56518,22,1595,58113,-4.0,-1.79,251.7,8541.0,4376.0,1315.0,cbsa2024a.txt
2024,cbsa,10820,Alexandria  MN,,,,10820,191,285,0.6702,73901,94,9900,83801,,,,191.0,191.0,191.0,cbsa2024a.txt
2024,cbsa,10860,Alice  TX,,,,10860,4,4,1.0,790,0,0,790,,,,4.0,4.0,4.0,cbsa2024a.txt
2004,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,4461,4612,0.9673,688881,151,8133,697014,462.0,11.55,,8460.0,,,ma2004a.txt
2005,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,4319,4848,0.8909,692789,529,26193,718982,-142.0,-3.18,,12779.0,,,ma2005a.txt
2006,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,3860,4144,0.9315,597414,284,27675,625089,-459.0,-10.63,4213.3,16639.0,,,ma2006a.txt
2007,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,2640,2789,0.9466,450965,149,14421,465386,-1220.0,-31.61,3606.3,19279.0,,,ma2007a.txt
2008,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1508,1694,0.8902,244228,186,14334,258562,-1132.0,-42.88,2669.3,20787.0,,,ma2008a.txt
2009,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1401,1648,0.8501,208293,247,18587,226880,-107.0,-7.1,1849.7,22188.0,,,ma2009a.txt
2010,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1177,1388,0.848,188455,211,15382,203837,-224.0,-15.99,1362.0,23365.0,1177.0,,ma2010a.txt
2011,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1059,1133,0.9347,171362,74,8296,179658,-118.0,-10.03,1212.3,24424.0,2236.0,,ma2011a.txt
2012,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,829,1069,0.7755,137898,240,20557,158455,-230.0,-21.72,1021.7,25253.0,3065.0,,ma2012a.txt
2013,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1139,1350,0.8437,220647,211,17317,237964,310.0,37.39,1009.0,26392.0,4204.0,,ma2013a.txt
2014,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1051,1801,0.5836,221371,750,40536,261907,-88.0,-7.73,1006.3,27443.0,5255.0,,ma2014a.txt
2015,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,943,1356,0.6954,197658,413,38976,236634,-108.0,-10.28,1044.3,28386.0,6198.0,,ma2015a.txt
2016,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1059,1263,0.8385,203200,204,13267,216467,116.0,12.3,1017.7,29445.0,7257.0,,ma2016a.txt
2017,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,938,1118,0.839,205631,180,12494,218125,-121.0,-11.43,980.0,30383.0,8195.0,,ma2017a.txt
2018,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1082,1246,0.8684,239567,164,14727,254294,144.0,15.35,1026.3,31465.0,9277.0,,ma2018a.txt
2019,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1078,1345,0.8015,245032,267,28786,273818,-4.0,-0.37,1032.7,32543.0,10355.0,,ma2019a.txt
2020,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1110,1688,0.6576,252253,578,55021,307274,32.0,2.97,1090.0,33653.0,11465.0,1110.0,ma2020a.txt
2021,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1716,2606,0.6585,430090,890,75397,505487,606.0,54.59,1301.3,35369.0,13181.0,2826.0,ma2021a.txt
2022,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1576,2232,0.7061,390056,656,89207,479263,-140.0,-8.16,1467.3,36945.0,14757.0,4402.0,ma2022a.txt
2023,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1329,1735,0.766,330171,406,58431,388602,-247.0,-15.67,1540.3,38274.0,16086.0,5731.0,ma2023a.txt
2024,cbsa,10900,Allentown-Bethlehem-Easton  PA-NJ,,,,10900,1368,2485,0.5505,390786,1117,136301,527087,39.0,2.93,1424.3,39642.0,17454.0,7099.0,cbsa2024a.txt
